chembl_id,canonical_smiles,pIC50
CHEMBL4093174,c1ccc(COc2cccc(NCc3nc(-c4ccncc4)n[nH]3)c2)cc1,6.443697499
CHEMBL4065514,c1ccc(CCOc2cccc(NCc3nc(-c4ccncc4)n[nH]3)c2)cc1,6.552841969
CHEMBL4064596,c1ccc(CSc2cccc(NCc3nc(-c4ccncc4)n[nH]3)c2)cc1,6.537602002
CHEMBL4091566,O=S(=O)(NCc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7
CHEMBL4075183,O=S(=O)(Cc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,5.744727495
CHEMBL4095595,CNC(=O)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7.187086643
CHEMBL4076320,O=C(Nc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7.26760624
CHEMBL4082775,O=C(NCc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,8.214670165
CHEMBL4101739,O=C(NCCc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7.420216403
CHEMBL4075063,O=C(NCCCc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7.638272164
CHEMBL4063713,CN(Cc1ccccc1)C(=O)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,6.15490196
CHEMBL4085317,CC(=O)Nc1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7.187086643
CHEMBL4072308,CC(=O)Nc1cc(NCc2nc(-c3ccncc3)n[nH]2)ccc1Cl,6.886056648
CHEMBL4093075,O=C(Cc1ccccc1)Nc1cc(NCc2nc(-c3ccncc3)n[nH]2)ccc1Cl,7.920818754
CHEMBL4082805,O=C(NCc1ccccc1)Nc1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7.721246399
CHEMBL4100779,O=C(Cc1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1)NCc1ccccc1,6.494850022
CHEMBL4090612,Cc1cc(-c2n[nH]c(CNc3ccc(Cl)cc3)n2)ccn1,5
CHEMBL4062649,Cc1cnccc1-c1n[nH]c(CNc2cccc(C(=O)NCc3ccccc3)c2)n1,7.37675071
CHEMBL4098177,O=C(NCc1ccccc1)c1cccc(NCc2nc(-c3ccncc3CO)n[nH]2)c1,6.886056648
CHEMBL4080151,OCCc1cnccc1-c1n[nH]c(CNc2ccc(Cl)cc2)n1,5.420216403
CHEMBL4090462,NC(=O)OCc1cnccc1-c1n[nH]c(CNc2cccc(C(=O)NCc3ccccc3)c2)n1,6.251811973
CHEMBL4069432,CC(=O)Nc1cc(-c2nnc(CNc3cccc(C(=O)NCc4ccccc4C(F)(F)F)c3)n2C)ccn1,6.769551079
CHEMBL4066027,CNc1cc(-c2nnc(CNc3cccc(C(=O)NCc4c(F)cccc4F)c3)n2C)ccn1,7.207608311
CHEMBL4095742,Cn1c(CNc2cccc(C(=O)NCc3c(F)cccc3F)c2)nnc1-c1ccnc(NCc2ccccc2)c1,7.173925197
CHEMBL4059737,Cn1c(CNc2cccc(C(=O)NCc3c(F)cccc3F)c2)nnc1-c1ccnc(NCCc2ccccc2)c1,6.602059991
CHEMBL4088026,Cn1c(CNc2cccc(C(=O)NCc3c(F)cccc3F)c2)nnc1-c1ccnc(NCCCc2ccccc2)c1,6.958607315
CHEMBL4087117,O=C(NCc1ccccc1)c1cccc(NCc2cc(-c3ccncc3)n[nH]2)c1,7.853871964
CHEMBL4065690,Cc1c(-c2ccncc2)n[nH]c1CNc1cccc(C(=O)NCc2ccccc2)c1,8.004364805
CHEMBL4067877,O=C(NCc1ccccc1)c1cccc(NCc2nc(-c3ccncc3)c[nH]2)c1,7.677780705
CHEMBL4089087,O=C(NCc1ccccc1)c1cccc(NCc2cc(-c3ccncc3)on2)c1,7.619788758
CHEMBL4105466,O=C(NCc1ccccc1)c1cccc(NCc2cc(-c3ccncc3)no2)c1,7.337242168
CHEMBL4081217,O=C(NCc1ccccc1)c1cccc(NCc2c[nH]c(-c3ccncc3)n2)c1,6.337242168
CHEMBL4086619,Cn1c(CNc2cccc(C(=O)NCc3ccccc3)c2)nnc1-c1ccncc1,7.346787486
